Sentiment,Tweet
1,keren kali abang acara botak
1,jokowi org soleh hendropriyono
1,top n cerah prof
1,media dukung ahok dapat iklan korporasi
1,keren bikin melek
1,salut darmawan salihin
1,semga ilc informasi
1,acara debat yag hebat keren
0,tunggu tvshow indonesia lawyers club tvshow cocok karakter siar tvone
0,indonesia lawyers club tvone malam batal tayang malu rezim sakit takut
0,potensi teroris bikin nyata yang peluang pada teroris
0,indonesia tapi gak sikap dari presiden demo sibuk citra upload video gak
0,acara bidik habieb rizieq habieb tidak pulang indonesia tidak tidak mutu
0,minoritas ekonomi kuat kuasa mayoritas ekonomi lemah bahas sumber radikal miris
0,lg jaga jarak dengan islamis radikal bangsa hancur
0,omong tidak tarik tidak isi
0,anis fitnah
0,metromini untuk jadi metronome bentuk macet padat putra petir
0,bela ahok cek pikir kalah anak sd
0,kayak provokatif ya bawa acara beda kelas dengan
0,pribadi tidak suka dengan acara mata najwa ilc tidak selesai kayak
0,bohong diulangulang
0,racun puji
0,males nonton topik tidak kini
0,bohong lari cepat kilat benar kalah
0,org yang nama tampang nabi tapi hati iblis sesuai dengan nyata acara nazarudin
0,jabat sibuk bicara hak angket tvne
0,paham gagal paham
0,ngomong segitu gak dapet maksud
0,sumpah liat muka ken gw lempar pake sepatu nyebelin bgt
0,fahri dower sakit hati kpk
0,dpr usik kpk bidik
0,ajarin dewan ttg hak angket
0,rakyat tapi jg kadang tidak neng lihat nya yang superbodi kyknya tebang pilih jg
0,rajut jakarta cabik cabik pimpin
0,maksud cinta uang akar jahat
0,geram ngeliat tingkah laku akhlaq oknum mengatasnama islam
0,bohong publik rambut udah putih uban cat hitam
0,beda kelas sm knp bebas batal
0,nonton ilc tokoh betawi bilang org betawi gampang inti bacot lu jaga inti
0,rajut jakarta gampang bacot lu jaga
0,buya safi maarif yang tua kalah bijak nasihat eep yang muda
0,rampas hak dasar manusia batal hukum
0,polisi kasihan bodoh hadap argumentasi hukum pakar it
0,abi manyu kasi beliau paham whatsapp miris
0,bintang muncul partai tokoh mana sanggup gerak orang
0,menghimbau provokasi tapi mantik benci teduh tapi mendung
0,tindak anarkis aksi demo
0,penting apa mati seram
0,ketua preman pasar ikut ngomong malu
0,jgn krn jaga moral dari konten porno negara darurat radikalisme tunggu perang kyk suriah kpi sadar
0,butuh fakta bukti ngomong bohong
0,kasi ya yang peci pake batik merah air mata nya dikeluarin krn ahoax
0,syaiton musuh jgn jadi sbg teman manusia bs setan tapi setan tidak bs manusia
0,dengar cerita bu marwah bodoh malu
0,bang gaya nya pikir liberal miris
0,sesat pikir amat
0,bicara ribet
1,ih lucu mas kick andy nya senyum aja
1,nonton hasan merkids kick andy inspirasi salut hasan
1,ubah mimpi tindak kick andy
1,kickandy gokil
1,terima kasih tonton acara eps ubah mimpi tindak moga manfaat
1,temu lentera jiwa
1,agung undang cerita jalan hidup
1,musisi yang gelora semangat nasionalisme kebhinekaan unjuk gigi nkri harga mati
1,anak imajinasi
1,gila daki gunung mantap jiwa
1,sayang alam niscaya alam sayang
1,mantan narapidana rangkul cari kerja jalan hidup yang lbh
1,agung bukti karya yang kagum hasil dengan ajar scr otodidak
1,salah jadi tonton tertawa agung hapsah muncul
1,agung undang cerita jalan hidup
1,jatuh bangkit bantu
1,bangga bs sumbang karya nkri ronny patut acung jempol
1,sahabat gimbal alas malam lupa ya nonton gila daki gunung ala cak tarpin
1,orang takut berani berani
1,suka hindar orang yag suka
1,anak th berfikir dewasa membiyayai sekolah bajak sawah
1,kangen nonton ayah ayah langsung bilang syukur
1,siang jg ajang reuni sahabat kosti dki kosti jateng
1,ku lucu ya
1,besok pagi uts jd pulang duluan poto bareng gambar
1,bahagia masuk tv kawan kick andy
1,keren kocak nih tamu merekamereka yang lomba design yang asal malang
1,lucu ni bikin ketawa persis kayak tv
1,terima kasih inspirasi buka mata orang setia uji cinta sungguh
1,cinta agung tuhan
1,rias baik wanita semangat percaya
1,nonton inspirasi
1,dukung ahok orang
1,mantap ahok
1,manusia bersih berani
1,suka nasehat analta amir yang ahok nyaring ucap
1,nonton tarik buka pikir inspirasi sukses
1,jago hahahaha
1,salut orang kek gitu
1,moga ok umur moga acara malam lancar
1,ajang orangorang inspirasi
1,suara penta boys keren banget juara rumania
1,penta boys eks suka suara keren
1,selip detik kick andy keren
1,terimakasih
1,tayang inspiratif motivasi cinta orangorang disabilitas
1,perjuagan istimewa krn tembus batas sbg syukur allah inspirasi
1,syukur hidup
1,acara inspirasi salut
1,suka tamu undang inspirasi
0,kalau udah puncak lupa sampah bawa turun alam nyampah stop nyampah gunung
0,rt wna ancam deportasi lia ancam pidana
0,nyala lilin umpat gelap
0,tidak bohong gimbal alas malang
0,sampan bayar padang pasir betapa jua emp
0,cari uang paksa upaya malas
0,hidup terkadang net
0,coba suami istri sakit coba istri suami gak duit miris
0,haru dengar puisi perempuan henti jaga anakanak shinta nuriyah miris
0,anak milik dua milik salah bantu istri asuh anak
0,uji suami istri sakit uji istri suami apaapa
0,andy mampir dengan gaya remaja sbg idola remaja beli
0,lemah kuat
0,kuat besar kalah stress mampu pilih pikir
0,yang kesel coba kalau sodara km ngantri kanker coba km rasain bs gitu fitnah org
0,klo pulang rumah mati tidak yang urus miskin mw taruh apartemen
0,kalau antem tidak telor busuk ketek
0,muka sedih banget pas kakak angkat ngomong
0,andy kaku jaga sikap undang ahok tamu formal
0,stress ngantuk
0,orang cover nya aja lihat sisi nya fisik sm isi beda
0,kayak gajah yang bilang psikolog
0,bakarin andy
0,bikin sakit perut nonton kisah sarjana tua indonesia
0,kerja yang tidak sesuai kualifikasi didik
0,tapi ttp tidak msk surga jd ibadah sia hahaah rt sp bilang orang tato tidak ibadah
0,orang tato tidak ibadah
0,bodoh bodoh sistem mikemarjinal
0,gimana un g bs bocor malaikat alam kubur aja udah bocor
0,anak lulus dengan nilai palingg lulus snmptn undang bidik misi pdhl susah
0,orang belanda aja peduli orang indonesia yang d daerah isolir gimana dengan perintah indonesia zhonk kickandymetrotv
0,merinding deh nonton
0,indonesia didik rusak
0,parah kualitas didik indonesia
0,apa ya kick andy botak
0,malu krn kalah org yang tidak sempurna yang org sempurna
0,hukum indonesia adil
0,tua keladi jd macan ompong melempem kecewa liat amin rais
0,media isi ttg kisah sukses tv gosip berita rusuh acara gg tai kucing
0,harga orang harga orang
0,bawah yang sulit keluh
0,hidup juang lelah capek
0,orangorang henti ajar bodoh
0,ambil berfikir usak
0,miris usak indonesia
0,sistem mikemarjinal bodoh orang
0,stress kacau
0,kesel banget coba posisi ahok
0,coba pulang rumah mati tidak yang urus miskin taruh apartemen
0,orang bodoh orang malas
1,tuju al misbah mata najwa kick andy program favorit
1,metro tv mata najwa pancasila
1,selera gue gatau suka banget nonton metro tv kalau tidak kick andy mata najwa selera tua
1,mantap mata najwa seru nih
1,sahabat yuk nonton mata najwa metro tv ketua dpp pkb
1,suara benar mata najwa
1,selamat keluarga prestasi yang dialog keren rugi klo lewat nonton mata najwa
1,moga acara mata najwa metro tv acara favorit jaya kualitas
1,menang mata najwa ok rt dukung mata najwa program tv baik
1,mata najwa metrotv inspiratif
1,tentram bahagia nonton mata najwa
1,mata najwa keren acara mata tajam silet
1,mata najwa malam kayak seru banget
1,mata najwa keren mantap
1,keren tampil kandang lawan anies baswedan gemilang mata najwa metro tv
1,romantis muas pirsa krn mata najwa sukses
1,tarik ikut diskusi ahok anis mata najwa
1,ahok pinter hebat debat acara mata najwa metro tv
1,mata najwa metro tv pihak paslon untung ahok cerdas semangat allah sama
1,bukti mata najwa ahok hebat anis insaallah ahok jarot menang
1,sip keren debat ala mata najwa keren ala kpud yang sudah atur untuk lbh jaim
1,moga jokowi acara mata najwa yang pelosok atas
1,keren deh mata najwa
1,metro tv keren inspiratif dengan mata najwa nya kick andy
1,metro tv emang tv keren ya edukatif inspirasi mata najwa kick andy
1,pimpin cerdas santun jujur bersih pilih aniessandipemersatu
1,liat pimpin yang islami cerdas teladan
1,rame banget malam tunggu topik seru nambah wawas
1,kado indah malam matanajwametrotv
1,tjokro rumah teladan senioritas hidup kerdil
1,semangat bp bambang woidjojayanto
1,ajar gusdur matanajwametrotv
1,mata najwa sus bpk dahlan bpk faisal basri inspiratif
1,metro tv keren malam lg malam minggu rugi klo tidak nonton mata najwa
1,merdeka hak bangsa
1,seru nih mata najwa malam
1,salut ahok
1,super salut ahok
1,matanajwametrotv wibawa byk kata kuasa sederhana kagum
1,salut bangga sm bj habibie untuk yang sekian kali
1,obrol santai tarik abraham slamet jk jokowi anis baswedan ganjar
1,anis baswedan jokowi ganjar pranowo jk abraham samad inspirasi indonesia keren
1,pimpin yang
1,rendah sederhana jokowi patut tiru
1,seru nih dahlan iskan ketua dpr
1,desa bebas rokok yang inspirasi
1,inspirasi cinta bjh hab
1,inspirasi
1,narasumber
1,cie yang lg job
0,nonton mata najwa radikalisme langsung berita seram
0,mata najwa acara sampah yang cuman keruh suasana gue sbg ajar mending pilih ilc
0,aneh acara mata najwa metrotv ajar islam umat islam islamis edan tokoh islam manggut
0,ilc dingin mata najwa provokasi metro tv emang tv sampah tidak bosan pojok islam metro tv usak pancasila
0,lapor metro tv kpi metro stres mata najwa kalah ilc
0,kecewa mata najwa malam mutu narasi najwa bukti tidak ngerti pihak bodoh
0,acara mata najwa host nya suka sela bicara orang selesai gak sopan
0,emosi sakit hati nonton mata najwa tv ganti chanel masakan aja
0,isis mimin bom kp melayu maaf isis organisasi organisasi mbak mata najwa mimin
0,foto yang integritas tidak rusak reputasi mata najwa aja
0,gara bantai teman anggota dpr mata najwa lu langsung benci metro tv
0,muak sombong fz acara live mata najwa
0,males lihat biarpun yang org nomor dunia ogah bawa acara mata najwa sudah dicontreng hitam
0,sering masuk gaul mata najwa engga diapaapain ngadu
0,udah bilang mata najwa metro tv aja anis fitnah
0,mui keluar fatwa haram korupsi undang jg petinggi mui mata najwa
0,bravo mata najwa debat pilgub dki kali garingkalah matanajwa yang gali lbh
0,kasihan pas debat mata najwa metrotv aja basuki nang tidak bayang kemarin debat
0,acara mata najwa kasihan anies jd bulan medsos hujat
0,nyetel metro tv mata najwa debat kemaren bikin kesel rumah coba cek skrg msh tidak rumah webnya
0,sandi muncul sbg cawagub metro tv dalam acara mata najwa sandi sudah bohong
0,saksi kejut dukung anies tipu acara mata najwa tipu
0,kandang ahok metro tv mata najwa sampah yang sera anies pilih
0,boikot metrotv tapi ngintip mata najwa
0,malas lihat anies bawa sial aja orang lihat ahok aja mata najwa
0,nonton mata najwa gw liat anies ngomong bikin ngantuk
0,mata najwa tuduh jelek lawan fon lawan
0,liat mata najwa males diskusi tidak imbang salah satu jual mimpi
0,kayak mata najwa adu domba cagub putar pilkada dki nih
0,gak penjara saksi aja palsu ahok
0,anis anis rekam thn msh simpan loh sm metrotv gak malu ya nelen ludah sendri
0,bagus apa sistem jalan orang yang sistem
0,ridwan bae tai tampang aja udah ngeselin ayo mbk nana bully trus si bae
0,miris liat atur skor sepakbola indonesia
0,pemuda perang lawan jajah pemuda lawan biasa buruk kunjung ubah
0,pasrah haha tai
0,lo bilang tidak kerjan ya
0,pssi lacur hati nurani malu
0,jembatan comal blm akibatya padat rayap
0,tegak langgar hukum bayar seragam tegak hukum rimba
0,wapresnya diketawain mulu bajusama staff hotel celana robek
0,rt pimpin mendongrak kokoh materi
0,tidak dengan tonton km masuk dalam ubah ahok matanajwametrotv
0,lembaga negara indonesia bobrok
0,org tolol bilang duga udh mencak bgt jd sangka
0,banget deh gw kesel klo orang debat pake emosi gin
0,orang miskin miskin klo sekolah pungut liar
0,tidak emosi cepat tua nonton lihat emosi bicara
0,dari tampil kyk preman tau bkin kisruh usak
0,aja tidak berbelitbelit muter tidak buang tidak mutu
